estudiante_id,nombre,genero,programa_academico,edad,puntaje_saber11,promedio_acumulado,materias_reprobadas,departamento_origen,estrato_socioeconomico,tipo_colegio,ingreso_familiar,desertor
1,Estudiante 1,MASCULINO,ADMINISTRACION DE EMPRESAS,17,400.85105560593286,2.1463206155042336,1,CUNDINAMARCA,5,OFICIAL,1488539.194974586,1
2,Estudiante 2,FEMENINO,DERECHO,23,281.5373353813051,3.1020839309747847,0,BOGOTA D.C.,3,OFICIAL,3720361.91327021,0
3,Estudiante 3,FEMENINO,PSICOLOGIA,23,190.86535749573292,2.810222480629512,0,ANTIOQUIA,3,OFICIAL,1731179.3805155938,0
4,Estudiante 4,FEMENINO,INGENIERIA DE SISTEMAS,32,298.6422750016889,2.909640270133965,1,ATLANTICO,2,OFICIAL,2218964.60022294,1
5,Estudiante 5,MASCULINO,PSICOLOGIA,30,296.7134934081539,3.3369078180322083,0,ANTIOQUIA,2,OFICIAL,3319598.690012875,0
6,Estudiante 6,MASCULINO,INGENIERIA DE SISTEMAS,32,350.0273355385885,3.140102674074261,1,SANTANDER,3,OFICIAL,1511007.524745492,0
7,Estudiante 7,MASCULINO,MEDICINA,28,312.9656806527467,2.8002572636844163,0,VALLE DEL CAUCA,1,OFICIAL,4065920.1459747856,1
8,Estudiante 8,FEMENINO,INGENIERIA DE SISTEMAS,34,262.47741674520887,2.230495060860064,0,VALLE DEL CAUCA,2,NO OFICIAL,2473388.3831652184,1
9,Estudiante 9,FEMENINO,ADMINISTRACION DE EMPRESAS,20,287.112365692645,3.681386783088586,0,SANTANDER,3,NO OFICIAL,500000.0,0
10,Estudiante 10,FEMENINO,DERECHO,27,314.73388972429444,3.951696328285084,1,VALLE DEL CAUCA,2,NO OFICIAL,1494995.981847508,0
11,Estudiante 11,MASCULINO,MEDICINA,16,202.58785873603156,3.261953012603376,0,VALLE DEL CAUCA,2,NO OFICIAL,4462278.174955396,0
12,Estudiante 12,FEMENINO,INGENIERIA DE SISTEMAS,20,360.2379780475703,3.3405345821274337,1,CUNDINAMARCA,1,OFICIAL,1094496.2299564255,0
13,Estudiante 13,FEMENINO,PSICOLOGIA,23,262.5973551387901,3.501686309411674,1,ATLANTICO,2,NO OFICIAL,3841116.230856429,0
14,Estudiante 14,MASCULINO,MEDICINA,28,363.7669719426428,4.447270145967351,0,ATLANTICO,3,OFICIAL,2682510.1550418586,0
15,Estudiante 15,MASCULINO,MEDICINA,23,317.6609313506965,2.559375323704537,1,ANTIOQUIA,2,NO OFICIAL,2242449.5474063293,1
16,Estudiante 16,MASCULINO,INGENIERIA DE SISTEMAS,26,328.33173613772885,3.2513061644764583,0,SANTANDER,1,NO OFICIAL,6268891.226174912,0
17,Estudiante 17,MASCULINO,MEDICINA,16,351.72405462005725,2.4668162215203684,0,BOGOTA D.C.,3,NO OFICIAL,573675.6356055184,1
18,Estudiante 18,FEMENINO,PSICOLOGIA,28,325.79094237116243,3.717391075241336,3,ANTIOQUIA,5,OFICIAL,1389799.5925153254,0
19,Estudiante 19,MASCULINO,MEDICINA,34,330.2798797342853,3.413624963727193,0,ANTIOQUIA,3,OFICIAL,2464854.8965248885,0
20,Estudiante 20,MASCULINO,PSICOLOGIA,18,292.60126017923784,3.6217952677616463,0,ANTIOQUIA,1,OFICIAL,6123624.088075126,0
21,Estudiante 21,FEMENINO,INGENIERIA DE SISTEMAS,32,316.74759066624426,3.591873537554646,1,ANTIOQUIA,2,OFICIAL,2468348.2348115384,0
22,Estudiante 22,MASCULINO,DERECHO,20,273.56259832627154,4.094424952222109,1,ATLANTICO,4,OFICIAL,2911379.407833178,0
23,Estudiante 23,MASCULINO,MEDICINA,23,284.54650051854145,3.82287977874108,3,BOGOTA D.C.,1,OFICIAL,1996246.7506200469,1
24,Estudiante 24,MASCULINO,DERECHO,29,388.4112771586009,3.998304774596052,0,ANTIOQUIA,3,OFICIAL,3037942.8678428554,0
25,Estudiante 25,MASCULINO,PSICOLOGIA,19,263.63128867273105,2.8606791860618337,0,ATLANTICO,2,OFICIAL,2089273.890045307,1
26,Estudiante 26,FEMENINO,MEDICINA,26,306.94427069863264,4.215902518985087,0,ANTIOQUIA,1,NO OFICIAL,3542983.9066498834,0
27,Estudiante 27,MASCULINO,ADMINISTRACION DE EMPRESAS,30,305.10610665219644,3.0665823563066,0,VALLE DEL CAUCA,3,OFICIAL,3661280.9897282417,0
28,Estudiante 28,FEMENINO,DERECHO,34,286.016048769864,3.101078274425612,0,ANTIOQUIA,3,OFICIAL,2148842.2557577016,0
29,Estudiante 29,FEMENINO,MEDICINA,22,323.1480421456697,3.6625055464117966,0,SANTANDER,3,NO OFICIAL,811779.942855904,0
30,Estudiante 30,MASCULINO,DERECHO,34,326.53749417336223,3.6811509578295656,1,SANTANDER,1,OFICIAL,2640354.770538604,0
